level,question,answer
0.1,"Let l be (3/(-3))/(1 - 2). Let i be (-10)/(2/(-1))*l. Let k(r) = -r**2 + 8*r - 14. Let u be k(4). Solve q + 2*d + 14 = i*q, 0 = 2*d - u for q.",4
0.1,Collect the terms in 7 - 5 + 29*y + 18*y.,47*y + 2
0.1,What is 15/4 of a tonne in kilograms?,3750
0.1,Calculate the remainder when 431 is divided by 73.,66
0.1,"In base 7, what is 5 - 105?",-100
0.1,Collect the terms in -11420*q**3 - 11422*q**3 + 22843*q**3.,q**3
0.1,Which is the biggest value?  (a) 2/13  (b) -7  (c) -23  (d) 1/7,a
0.1,"What is 927 to the power of 1/8, to the nearest integer?",2
0.1,Collect the terms in -2126 + 3*k**3 + 2126.,3*k**3
0.1,Solve -2*b - 2 + 8 = 0 for b.,3
0.1,Is 547103 prime?,True
0.1,Suppose -525 = 5*v - 10*v. Calculate the greatest common factor of 42 and v.,21
0.1,Is 11087 composite?,False
0.1,What is the value of -3 - 1 - (2 + -1)?,-5
0.1,Let c(x) be the second derivative of -x**6/30 - 2*x**5/15 - 5*x**2/2 - 5*x. Let r(k) be the first derivative of c(k). Find the third derivative of r(v) wrt v.,-24
0.1,"Calculate prob of picking 2 w when two letters picked without replacement from {l: 1, w: 4, c: 8}.",1/13
0.1,What is 47558.77mg in grams?,47.55877
0.1,"Let s(d) = -d - 5. Let l be s(-10). Suppose 8 = 2*a + l*u, 2 - 39 = -5*a - 4*u. Let q be -1*(-3)/(-2)*-48. What is the greatest common factor of q and a?",9
0.1,"Let o be 59/8*6 + -2. Let i = o + -43. Suppose -2*r = 4*s - 14, -3*r - r - 4*s = -12. Is r < i?",True
0.1,"What comes next: 18, 26, 44, 72, 110?",158
0.1,Collect the terms in 3*f**3 - 13378*f**2 + 13378*f**2.,3*f**3
0.1,Solve 16*q + 3381 = 3237 for q.,-9
0.1,"What is next in 1, 24, 47?",70
0.1,What is the remainder when 103 is divided by 36?,31
0.1,Let u(n) be the third derivative of 1/4*n**4 + 1/120*n**5 + 0*n + 1/3*n**3 + 0 + 2*n**2. Let p(l) be the first derivative of u(l). Calculate p(-4).,2
0.1,"In base 3, what is 22120120 - -1?",22120121
0.1,Let v = -11 - -21. Find the first derivative of a**2 + 3 + v*a + 10*a - 20*a wrt a.,2*a
0.1,"Suppose 0 = -t - 4*t + 15. Let o be (t + 1 + -1)*1. Solve 0 = -4*h + 12, d - o*h = h - 12 for d.",0
0.1,How many tonnes are there in 129.1205g?,0.0001291205
0.1,"Let h(j) = -j**3 + 4*j**2 - 2*j + 1. Let p be h(3). Let u = 0 - -32. Let z = 13 + -9. Solve z*v - r = r - 6, 3*v + p*r = -u for v.",-4
0.1,"What is next in -4970, -4976, -4986, -5000, -5018, -5040, -5066?",-5096
0.1,Let o(z) be the first derivative of -z**4/4 - 5*z**3/3 - 2*z**2 + 5*z - 24. Calculate o(-4).,5
0.1,Solve -34*q - 65 - 3 = 0 for q.,-2
0.1,"Suppose -2*j + 17 = 3*y, 2*j - 3*y + 7 = 2*y. Solve s = -4, 5*u - j*s - 21 = -5 for u.",0
0.1,"What is next in 1496, 1495, 1494, 1493?",1492
0.1,Solve -5*c - 8*c = -39 for c.,3
0.1,Suppose -406 = -5*w + 144. Let u(a) be the second derivative of a**4/4 + a**3/2 + 2*a**2 - 2*a. Let p be u(-3). What is the highest common divisor of w and p?,22
0.1,(-5)/20 - 30/(-184),-2/23
0.1,Let h = -24 - -24.000045. What is h rounded to 5 decimal places?,0.00005
0.1,What is the tens digit of 450?,5
0.1,"Suppose -2*y = 2*y + 12, -2*t + 6 = 2*y. Suppose 4*p + t*x - 3*x - 249 = 0, 0 = -2*p - 3*x + 117. Suppose 99 = 5*v - p. What is v rounded to the nearest 10?",30
0.1,"In base 3, what is -12 - 100021?",-100110
0.1,What is 688.2104 weeks in microseconds?,416229649920000
0.1,"What is prob of picking 2 m and 2 p when four letters picked without replacement from {q: 1, m: 4, n: 10, p: 3}?",1/170
0.1,Let j(o) be the first derivative of 4*o**3/3 + o - 31. Suppose -5 = 4*y + y. Determine j(y).,5
0.1,What is the value of (-8)/20*(4 + -6)?,4/5
0.1,Is 10499 a prime number?,True
0.1,What is the cube root of 88236 to the nearest integer?,45
0.1,What is the fifth root of 24113 to the nearest integer?,8
0.1,"Let t(k) be the first derivative of k**3/3 - 2*k**2 - 2. Suppose -7 = -s + 5*f + 15, 2*f = -s + 1. Let v be 4/8 + s/2. Calculate t(v).",0
0.1,Find the third derivative of -2*m**2 + 10*m**5 + 2*m**2 + 7*m**2 wrt m.,600*m**2
0.1,What is the units digit of 1325?,5
0.1,Suppose 0 = 7*i - 22 - 34. Calculate the greatest common factor of 64 and i.,8
0.1,What is the square root of 1054 to the nearest integer?,32
0.1,"What is 2492 to the power of 1/2, to the nearest integer?",50
0.1,Solve -6*q = -4*q + 6 for q.,-3
0.1,"What is the next term in -17, -20, -37, -74, -137, -232?",-365
0.2,"What is the closest to 0 in -5, -1, -43/23?",-1
0.2,Is 37 a factor of 3070?,False
0.2,Simplify sqrt(4032)*4.,96*sqrt(7)
0.2,Does 3 divide 615?,True
0.2,"What is the closest to 635 in -0.2, -2, 3/4?",3/4
0.2,"Put -1, 2, 1, -5 in ascending order.","-5, -1, 1, 2"
0.2,What is 628 minutes after 10:45 PM?,9:13 AM
0.2,What is -8 + (-2 - (-8 + -4))?,2
0.2,List the prime factors of 1700.,"2, 5, 17"
0.2,"Suppose -5*z + 5*g = 30, -4*z - 4 = 4*g + 4. Let j be 6/z*160/(-12). Solve -j = 3*r - 5 for r.",-5
0.2,Let p(s) = 11*s**2 + 17*s - 20. Let f(w) = 4*w**2 + 6*w - 7. What is 17*f(q) - 6*p(q)?,2*q**2 + 1
0.2,"Sort 3/10, 1/2, -10.","-10, 3/10, 1/2"
0.2,Let t(k) = 7. Let v(y) = 6. Let n(i) = 5*t(i) - 6*v(i). Let c(d) = 2*d + 4. Let a(z) = 3*z + 6. Let m(f) = 5*a(f) - 7*c(f). Give -m(q) - 2*n(q).,-q
0.2,Let y(d) = -5*d**3 + 6*d**2 + 3*d - 6. Let o(g) = -g**3 + g**2 - 1. What is -6*o(b) + y(b)?,b**3 + 3*b
0.2,Let f(i) = 7*i - 2 + 5 - 2. Let n be (-3 - 1)*4/(-8). Is f(n) prime?,False
0.2,Let w be 0*2/6*3. Let q be -10*(w + (-326)/(-16)). Let y = -205 - q. Which is the third smallest value?  (a) -0.4  (b) y  (c) -0.5,a
0.2,"Calculate prob of sequence rrmf when four letters picked without replacement from {f: 1, r: 2, m: 6, n: 4}.",1/1430
0.2,Let r(y) = y. Let l = 6 + -7. Let s = l - -8. What is the units digit of r(s)?,7
0.2,What is 474 minutes after 12:03 AM?,7:57 AM
0.2,How many minutes are there between 11:02 PM and 10:20 AM?,678
0.2,Factor 2*k**3 + 94*k**2.,2*k**2*(k + 47)
0.2,"Let v(c) = -c**2 + 4*c. Let l be v(4). Let h be (l - -10)*2/5. Let g = 205 - 203. What is the biggest value in h, -2, g?",h
0.2,"Sort -4, 2/9, 4, -0.2 in ascending order.","-4, -0.2, 2/9, 4"
0.2,"What is the closest to -0.6 in -5, 0.4, 3/7, 2?",0.4
0.2,Suppose 2 + 38 = 4*x. Calculate the remainder when 13 is divided by x.,3
0.2,Let v = -0.1 - -0.5. Which is the smallest value?  (a) 4  (b) v  (c) 11,b
0.2,What is -10319 times -0.4?,4127.6
0.2,"What is the n'th term of -176, -141, -108, -77?",-n**2 + 38*n - 213
0.2,Calculate 7 + -1 - ((-2 - -1) + 2).,5
0.2,Simplify (-1*-4*(0 + sqrt(99)))**2.,1584
0.2,What is 249 minutes after 6:24 AM?,10:33 AM
0.2,What is the value of -2 - ((5 - (4 + 0)) + -4)?,1
0.2,Let b(w) = -w**3 + 5*w**2 + w + 1. Let j be b(5). Solve -4*h = -6 - j for h.,3
0.2,Let h(p) = 47*p + 13. Is h(6) a composite number?,True
0.2,17855 * 1,17855
0.2,Is 15570 a multiple of 5?,True
0.2,"What is the x'th term of -610, -4957, -16756, -39733, -77614?",11 - 621*x**3
0.2,Let l(k) = 3*k**2 + 4*k**2 - 5*k**2. Let b = -5 + 7. Let p(h) = 0*h**2 + 2*h**b - 7 + 7. Determine l(p(w)).,8*w**4
0.2,Is 14 a factor of 686?,True
0.2,"Calculate prob of sequence pza when three letters picked without replacement from {e: 1, p: 4, x: 1, z: 4, a: 1, g: 4}.",8/1365
0.2,List the prime factors of 663.,"3, 13, 17"
0.2,Let o(d) = -5*d**3 - 3*d. Let f(s) = 144*s**3 + 88*s. Calculate -6*f(v) - 176*o(v).,16*v**3
0.2,Work out -17 * 0.8.,-13.6
0.2,Let u(b) be the third derivative of 1/12*b**4 + 0*b**3 - b**2 + 0 + 0*b. Let g(c) = -8*c**2 + 4*c. Let r(j) = j**2 - j. Let m(t) = g(t) + 4*r(t). Give u(m(d)).,-8*d**2
0.2,"What is the f'th term of 97, 190, 283, 376, 469, 562?",93*f + 4
0.2,Simplify 1*(sqrt(208)*-2 + 2).,2 - 8*sqrt(13)
0.2,Simplify ((5*sqrt(500)*3 + sqrt(500))**2 - sqrt(500)) + sqrt(500) - ((sqrt(500) - (sqrt(500) + 2)) + 1)**2.,127999
0.2,Let m(g) = 1 - g**2. Let n be m(-1). Suppose 2*x = -n*x. Solve 2*b - b + 1 = x for b.,-1
0.2,"What is the nearest to -1/3 in 1.34, 3, 4?",1.34
0.2,Let v(i) = i**3 - 7*i**2 + 5*i + 6. Let q be v(6). Suppose 5*z - 21 - 44 = q. Calculate the remainder when z is divided by 5.,3
0.2,"Sort 3, 50, -5, 0, 2.","-5, 0, 2, 3, 50"
0.2,"What is the closest to -2 in -10, -2, 0.1?",-2
0.2,"What is the g'th term of 22, 15, 8, 1, -6?",29 - 7*g
0.2,"Calculate prob of sequence dbb when three letters picked without replacement from {d: 10, b: 10}.",5/38
0.2,Let d(r) = -r**2 - 5*r - 2. Let a(h) = 5 - 15*h**2 - 6 - 5 - 14*h + 12*h**2. Let c = -1 - 5. Determine c*a(q) + 17*d(q).,q**2 - q + 2
0.2,Expand -12*m**3 + 78*m**2 - 78*m**2 + (3 - m**2 - 3)*(0*m - 3*m + 2*m).,-11*m**3
0.2,Expand 0*c - c + 7*c + (-2 + 2 + 2)*(3*c + 2*c - 6*c).,4*c
0.2,"Sort -3, 1, -2, 3, -1056 in decreasing order.","3, 1, -2, -3, -1056"
0.2,What are the prime factors of 809?,809
0.2,Suppose -5*v = -v. Let a = 79 - v. Is a a prime number?,True
0.2,What is 0.01 times -2?,-0.02
0.2,"Let u(r) = 0*r - 4 + 2 + r + 0. Suppose 3*p - 3*x = 0, -4*x + 3*x + 24 = 5*p. Let q(a) = 7 - 4*a. Determine p*q(g) + 14*u(g).",-2*g
0.2,Let s = 67 + -29. Calculate the remainder when s is divided by 15.,8
0.2,"What is the f'th term of 32, 66, 100, 134, 168?",34*f - 2
0.2,"Let m = 43/4 - 11. Let b = -0.4 - -4.4. Let o = b - 3. What is the smallest value in o, m, -0.3?",-0.3
0.2,Let h = -34 - -58. Let g = -13 + h. What is the remainder when g is divided by 6?,5
0.2,Let c be (-2 - -1)/(6/24). What is the remainder when (-1715)/(-63) - c/(-18) is divided by 15?,12
0.2,"Put 20, -2/89, -4, 3 in descending order.","20, 3, -2/89, -4"
0.2,"Suppose 5*p = 4*l - 37, -3*p = l + 2*l + 6. Let h(t) = -t - 1. Let n be 4*(1 - -1) + -2. Let a(d) = 4 - n*d - 8 - 3 + 2. Calculate p*h(k) + a(k).",-k
0.2,Let l = -25 - -29. What is the units digit of l?,4
0.2,Factor -5*v**2 + 80*v.,-5*v*(v - 16)
0.2,"Let x(k) be the third derivative of -k**5/60 + 7*k**4/24 + 11*k**3/6 - 3*k**2. Let h be x(8). Suppose -4*m + 2*u + 59 = 3*u, -m = -h*u - 5. Is m prime?",False
0.2,Suppose 4 = t + 27. Let l = t - -45. Suppose 5*m - 77 = -l. What is the tens digit of m?,1
0.2,How many minutes are there between 6:47 AM and 2:06 PM?,439
0.2,Factor -4*d**5 + 84*d**4 + 276*d**3 + 284*d**2 + 96*d.,-4*d*(d - 24)*(d + 1)**3
0.2,What are the prime factors of 6794?,"2, 43, 79"
0.2,Does 185 divide 1295?,True
0.2,What is the product of -21 and -5?,105
0.2,What is 355 minutes before 10:27 PM?,4:32 PM
0.2,Factor 722*q**3/3 - 9956*q**2/3 - 2120*q/3 - 112/3.,2*(q - 14)*(19*q + 2)**2/3
0.2,How many minutes are there between 7:45 AM and 12:55 PM?,310
0.2,Suppose 5*x = 32 - 7. Let i be 5/25 - (-29)/x. Let q(r) = r - 3. What is the units digit of q(i)?,3
0.2,Product of 1.81 and 106.,191.86
0.2,List the prime factors of 1470.,"2, 3, 5, 7"
0.2,"Let v = 161 - 164. What is the fourth smallest value in -9, v, 2, 1?",2
0.2,"What is the closest to 0 in -1/6, 2/9, -1/8?",-1/8
0.2,"Calculate prob of sequence vu when two letters picked without replacement from {o: 5, y: 2, v: 1, u: 1}.",1/72
0.2,What are the prime factors of 17885?,"5, 7, 73"
0.2,Is 145072 a multiple of 332?,False
0.2,Suppose -z = 3*z + 8. Let d(j) be the second derivative of -11*j**3/6 - 3*j**2/2 - 2*j. Is d(z) a prime number?,True
0.2,"What is the nearest to 4/3 in -2/27, 4/7, 3?",4/7
0.2,Calculate 3 + 2 + -13 + 3.,-5
0.2,"What is the nearest to 1 in 0.3, 2/13, 0.012?",0.3
0.2,Find v such that 3*v**2 - 3*v - 6 = 0.,"-1, 2"
0.2,"Sort 0, 1, -3, -4, -48 in decreasing order.","1, 0, -3, -4, -48"
0.2,Expand (31*b**3 - 12*b**3 + 156*b**5 - 19*b**3)*(3 + 4 - 5).,312*b**5
0.2,Simplify (1 + sqrt(11)*-2 + 1*(sqrt(44)/sqrt(4))**2)*-1.,-12 + 2*sqrt(11)
0.2,What is 556 minutes before 6:14 AM?,8:58 PM
0.2,Let o be 1/3 + 12/18. Let y be o*3 - (-4)/(-4). Solve b = -y*b for b.,0
0.2,Expand (-7 + 1 + 0)*(-b**2 + 1 - 1)*(3*b**2 + 3*b**2 - 3*b**2).,18*b**4
0.2,"Three letters picked without replacement from {n: 1, f: 7}. What is prob of sequence nnn?",0
0.2,Let g(m) = 4*m**2. Let d be (1 - 0)/(6/(-48)). Let y(j) = -2*j**2 + 8*j - 8. Let b(p) = -p**2 + 3*p - 3. Let r(o) = d*b(o) + 3*y(o). Determine r(g(q)).,32*q**4
0.2,"Suppose -5*q = 20, -3*j + 7 = -q - 6. Is -701*(-4)/(1 + j) a prime number?",True
0.2,Which is the nearest to -1/5?  (a) -2/15  (b) 3/49  (c) -4  (d) -0.3,a
0.2,"Calculate prob of sequence grur when four letters picked without replacement from {o: 3, r: 4, g: 4, k: 4, u: 1}.",1/910
0.2,Let h(u) = -u. Let r(n) = 9*n**2 + 6*n**2 + 2*n**2. Calculate r(h(b)).,17*b**2
0.2,What is 2.76 times -0.4?,-1.104
0.2,Factor 5*q**3 + 255*q**2 + 3120*q - 3380.,5*(q - 1)*(q + 26)**2
0.2,Factor -j**3 - 58*j**2/3 + 172*j/3 - 88/3.,-(j - 2)*(j + 22)*(3*j - 2)/3
0.2,"Let w = 3 + 2. Let g be -4 - 2/(12/(-22)). What is the biggest value in -5, g, w?",w
